objectid,recordtitle,eventtitle,eventtype,eventdate,eventlocation,eventcontributor,eventorganizer,postercreator,postertype,posterdescriptors,fileformat,filesize,digitizationdate,rightsinformation,rightsstatement
SQI_PO_00201,Sing to Me Through Open Windows by Arthur Kopit,Sing to Me Through Open Windows,One-Act Play,04-28; 04-29; 04-30,Performing Arts Building,"Kopit, Arthur, 1937-2021",Virginia Tech Theatre Arts,,Theatrical posters,Surrealist,jpeg,2.9 MB,,,http://rightsstatements.org/vocab/NoC-US/1.0/
SQI_PO_00202,Ghost by Ibsen,Ghosts,Three-Act Play,07-22; 07-23; 07-24; 07-25; 07-26,,"Ibsen, Henrik, 1828-1906",,,Theatrical posters,Minimal; Silhouettes,jpeg,1.8 MB,,,http://rightsstatements.org/vocab/NoC-US/1.0/
SQI_PO_00203,Last Chance Jazz Before Exams,Last Chance Jazz Before Exams,Jazz Concert,1998-04-29,Haymarket Theatre,"The University Jazz Ensemble; Marks, Dennis",Virginia Tech School of Arts and Music Department,,Concert posters,,jpeg,2.5 MB,,,http://rightsstatements.org/vocab/InC-EDU/1.0/
SQI_PO_00204,University Jazz Ensemble,University Jazz Ensemble,Jazz Concert,1998-12-09,Commonwealth Ballroom,"The University Jazz Ensemble; Gallio, Peter; Mooney, Noelle",Virginia Tech School of Arts and Music Department,,Concert posters,,jpeg,2.3 MB,,,http://rightsstatements.org/vocab/InC-EDU/1.0/
SQI_PO_00205,University Jazz Ensemble,University Jazz Ensemble,Jazz Concert,1999-05-05,Squires Haymarket Theatre,"The University Jazz Ensemble; Bickel, Doug",Virginia Tech School of Arts and Music Department,,Concert posters,,jpeg,2.9 MB,,,http://rightsstatements.org/vocab/InC-EDU/1.0/
SQI_PO_00207,"Otesha, Creative Arts Ensemble, African Dance Workshop (dancing, drumming, talk back)","Otesha, Creative Arts Ensemble, African Dance Workshop (dancing, drumming, talk back)",,04-28,"Brush Mountain, Squires Student Center",Otesha,Graduate Arts Council of Virginia Tech,,Dance posters,,jpeg,2.2 MB,,,http://rightsstatements.org/vocab/NoC-US/1.0/
SQI_PO_00206,The New Virginians Fall Concert,The New Virginians Fall Concert,,1998-11-07,Haymarket Theatre,The New Virgnians,Virginia Tech School of Arts and Music Department,,Concert posters,,jpeg,3.2 MB,,,
SQI_PO_00208,"Spoke, a new play by Rob Laudenslager and directed by Joe Schumacher",Spoke,Play,03-22; 03-23; 03-24,Performing Arts Building,"Laudenslager, Rob; Schumacher, Joe",VTUT Workshop Prduction,,Theatrical posters,,jpeg,2.8 MB,,,
SQI_PO_00209,"Wish the Moon, Swallow the Whole Hot Sun","Wish the Moon, Swallow the Whole Hot Sun",,1999-03-20,Burrass Auditorium,"Rohd, Micahel; Pirandello, Luigi, 1867-1936",Virginia Tech School of Arts and Theatre Arts - University Theatre,,,,jpeg,2.1 MB,,,
SQI_PO_00213,"The University Jazz Ensemble, Professor Roger C. Heath, Conductor",The University Jazz Ensemble,,11-17; 11-22,Squires Large Ballroom,"The University Jazz Ensemble; Heath, Roger C.",Music Virginia Tech; Performing Arts and Communication,,Concert posters,,jpeg,1.9 MB,,,
SQI_PO_00212,Two Sides of Moliere: Love's the Best Doctor and the Imaginary Cuckhold,Two Sides of Moliere: Love's the Best Doctor and the Imaginary Cuckhold,,11-07; 11-08; 11-09; 11-10; 11-11; 11-12; 11-13; 11-14,Squires Studio Theatre,"Moliere, Richard Wilbur",Virginia Tech Theatre Arts - University Theatre,,,,jpeg,2.2 MB,,,
SQI_PO_00210,"Closer, a play by Patrick Marber, directed by Adam Breske",Closer,Play,07-06; 07-07; 07-08,Performing Arts Building,"Marber, Patrick; Breske, Adam",Virginia Tech's Deaprtment of Theatre Arts,,Theatrical posters,,jpeg,3.2 MB,,,
SQI_PO_00214,The Tempest by William Shakespeare,The Tempest,Shakespearean Play; Five-Act Play,1996-11-07; 1996-11-08; 1996-11-09; 1996-11-10; 1996-11-07; 1996-11-12; 1996-11-13; 1996-11-14; 1996-11-15; 1996-11-16;,Squires Studio Theatre,"Shakespeare, William, 1564-1616; Rivkin, Gigi",Virginia Tech School of Arts and Theatre Arts - University Theatre,,Theatrical posters,,jpeg,2.9 MB,,,
SQI_PO_00215,George C. Wolfe's The Colored Museum,The Colored Museum,One-Act Play,11-09; 11-10; 11-11; 11-12; 11-13,Haymarket Theatre,"Wolf, George C.",Virginia Tech Theatre Arts - University Theatre,,Theatrical posters,,jpeg,3.5 MB,,,
SQI_PO_00217,"New River Valley Symphony, Berlioz Symphonie Fantastique","New River Valley Symphony, Berlioz Symphonie Fantastique",Sympony,1997-11-07,Burrass Auditorium,New River Valley Symphony,Virginia Tech School of Arts and Department of Music,,Concert posters,,jpeg,2.6 MB,,,
